movie_id_x,movie_title_x,original_title,runtime_minutes,averagerating,numvotes,primary_genre,movie_id2,id,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross
tt1392214,prisoners,prisoners,153.0,8.1,526273,crime,prisoners2013,48,2013-09-20,46000000,61002302,113402302,52400000
tt1396484,it,it,135.0,7.4,359123,horror,it2017,24,2017-09-08,35000000,327481748,697457969,369976221
tt1401152,unknown,unknown,113.0,6.9,235167,action,unknown2011,21,2011-02-18,40000000,63686397,136123083,72436686
tt1403241,wolves,wolves,91.0,5.3,7312,action,wolves2014,51,2014-11-14,18000000,0,94953,94953
tt1411250,riddick,riddick,119.0,6.4,144821,action,riddick2013,66,2013-09-06,38000000,42025135,94763758,52738623
tt1411704,hop,hop,95.0,5.4,28893,adventure,hop2011,27,2011-04-01,63000000,108085305,188657593,80572288
tt1413495,paranoia,paranoia,106.0,5.7,33149,drama,paranoia2013,19,2013-08-16,40000000,7388654,16340767,8952113
tt1421051,somewhere,somewhere,97.0,6.3,40250,comedy,somewhere2010,42,2010-12-22,7000000,1785645,17023121,15237476
tt1423995,stone,stone,105.0,5.4,38667,drama,stone2010,50,2010-10-08,22000000,1810078,4065020,2254942
tt1424381,predators,predators,107.0,6.4,199764,action,predators2010,35,2010-07-09,40000000,52000688,127234389,75233701
tt1431045,deadpool,deadpool,108.0,8.0,820847,action,deadpool2016,56,2016-02-12,58000000,363070709,801025593,437954884
tt1433108,faster,faster,98.0,6.5,93618,action,faster2010,53,2010-11-24,24000000,23240020,35792945,12552925
tt1436562,rio,rio,96.0,6.9,191621,adventure,rio2011,46,2011-04-15,90000000,143619809,487519809,343900000
tt1440129,battleship,battleship,131.0,5.8,225342,action,battleship2012,32,2012-05-18,220000000,65233400,313477717,248244317
tt1446714,prometheus,prometheus,124.0,7.0,538720,adventure,prometheus2012,75,2012-06-08,125000000,126477084,402448265,275971181
tt1454468,gravity,gravity,91.0,7.7,710018,drama,gravity2013,16,2013-10-04,110000000,274092705,693698673,419605968
tt1458169,kidnap,kidnap,95.0,5.9,28898,crime,kidnap2017,69,2017-08-04,21000000,30718107,34836080,4117973
tt1462758,buried,buried,95.0,7.0,139426,drama,buried2010,2,2010-09-24,1987650,1044143,21270290,20226147
tt1469304,baywatch,baywatch,116.0,5.6,137528,action,baywatch2017,86,2017-05-25,60000000,58060186,175863783,117803597
tt1470023,macgruber,macgruber,90.0,5.5,39782,action,macgruber2010,42,2010-05-21,10000000,8525600,8629895,104295
tt1470827,monsters,monsters,94.0,6.4,84332,drama,monsters2010,50,2010-10-29,500000,237301,5639730,5402429
tt1477834,aquaman,aquaman,143.0,7.1,263328,action,aquaman2018,36,2018-12-21,160000000,335061807,1146894640,811832833
tt1478338,bridesmaids,bridesmaids,125.0,6.8,249501,comedy,bridesmaids2011,85,2011-05-13,32500000,169211718,289632023,120420305
tt1483013,oblivion,oblivion,124.0,7.0,453966,action,oblivion2013,93,2013-04-19,120000000,89107235,287916633,198809398
tt1487931,khumba,khumba,85.0,5.7,4984,adventure,khumba2013,54,2013-12-06,15000000,0,20898221,20898221
tt1488181,zambezia,zambezia,83.0,5.8,6010,adventure,zambezia2012,8,2012-12-31,20000000,0,34454336,34454336
tt1498569,restless,restless,91.0,6.8,16736,drama,restless2011,25,2011-09-16,8000000,163753,2772511,2608758
tt1502407,halloween,halloween,106.0,6.6,88395,horror,halloween2018,36,2018-10-19,10000000,159342015,254900667,95558652
