genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
35,466987,en,joe mande's award-winning comedy special,1.059,2017-07-25,joe mande's award-winning comedy special,7.4,5,2017,comedy
"10770, 53",514991,en,psycho brother-in-law,1.054,2017-12-28,psycho brother-in-law,5.0,3,2017,10770
"10751, 14, 878",487047,en,a witches' ball,1.05,2017-05-06,a witches' ball,5.9,11,2017,family
"14, 27",384978,en,puppet master: axis termination,1.047,2017-09-15,puppet master: axis termination,3.0,2,2017,fantasy
"28, 16, 878, 14",479310,en,star wars rebels: heroes of mandalore,1.046,2017-10-16,star wars rebels: heroes of mandalore,7.8,4,2017,action
"35, 10751",467919,en,kinda funny live 3,1.045,2017-07-24,kinda funny live 3,8.0,2,2017,comedy
99,449748,en,"awake, a dream from standing rock",1.045,2017-04-22,"awake, a dream from standing rock",6.8,4,2017,documentary
99,410205,en,"all governments lie: truth, deception, and the spirit of i.f. stone",1.044,2016-11-04,"all governments lie: truth, deception, and the spirit of i.f. stone",9.3,4,2016,documentary
99,385761,en,all this panic,1.044,2017-03-31,all this panic,5.8,5,2017,documentary
"10770, 18, 53",464704,en,the wrong crush,1.044,2017-07-02,the wrong crush,4.7,6,2017,10770
18,525482,en,escape artist,1.043,2017-03-22,escape artist,7.3,3,2017,drama
"18, 878, 27",454418,en,herbert west: re-animator,1.043,2017-08-11,herbert west: re-animator,5.3,4,2017,drama
18,452521,en,beyond the known world,1.042,2017-01-06,beyond the known world,5.0,2,2017,drama
53,479366,en,deadly expose,1.042,2017-05-01,deadly expose,3.0,2,2017,thriller
"35, 18",452394,pa,ਮੰਜੇ ਬਿਸਤਰੇ,1.041,2017-04-14,manje bistre,5.8,5,2017,comedy
"16, 35",572710,en,wishing box,1.041,2017-04-12,wishing box,5.3,3,2017,animation
99,454147,en,a suitable girl,1.039,2017-04-22,a suitable girl,6.6,4,2017,documentary
18,520629,en,genesee,1.038,2016-12-16,genesee,9.3,6,2016,drama
"35, 10749",500464,en,the trouble with mistletoe,1.038,2017-12-15,the trouble with mistletoe,6.0,1,2017,comedy
35,444152,en,the middle finger,1.036,2017-04-01,the middle finger,5.5,2,2017,comedy
"18, 10770, 10749",456573,en,sweet home carolina,1.036,2017-03-09,sweet home carolina,5.2,5,2017,drama
35,457380,en,elle fanning's fan fantasy,1.032,2017-05-12,elle fanning's fan fantasy,7.5,20,2017,comedy
27,440486,en,reel nightmare,1.03,2017-02-07,reel nightmare,6.0,3,2017,horror
"27, 53",461771,en,ravenswood,1.028,2017-03-11,ravenswood,4.3,8,2017,horror
99,495779,en,maddman: the steve madden story,1.026,2017-12-01,maddman: the steve madden story,6.3,3,2017,documentary
18,508434,en,blind sex,1.025,2017-06-22,blind sex,10.0,1,2017,drama
10749,485614,en,second chance christmas,1.02,2017-11-05,second chance christmas,6.4,9,2017,romance
"10752, 99, 28, 35",485865,en,not a war story,1.02,2017-06-30,not a war story,4.5,2,2017,war
"28, 80, 18",443670,en,tom clancy’s ghost recon wildlands: war within the cartel,1.019,2017-02-16,tom clancy’s ghost recon wildlands: war within the cartel,6.2,5,2017,action
