id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,movie_id,movie_id2
26,2008-09-26,the lucky ones,14000000,266967,266967,2008,0,theluckyones20080926,the lucky ones2008
27,2011-09-30,margaret,14000000,47185,623292,2011,576107,margaret20110930,margaret2011
28,2016-11-01,reign of assassins,14000000,0,11354230,2016,11354230,reignofassassins20161101,reign of assassins2016
29,2009-10-27,stan helsing: a parody,14000000,0,1553556,2009,1553556,stanhelsingaparody20091027,stan helsing: a parody2009
30,2005-12-09,brokeback mountain,13900000,83043761,176980863,2005,93937102,brokebackmountain20051209,brokeback mountain2005
32,2008-12-31,ca$h,13700000,0,11738256,2008,11738256,cah20081231,ca$h2008
35,2002-11-08,far from heaven,13500000,15901849,29027914,2002,13126065,farfromheaven20021108,far from heaven2002
36,2012-10-12,seven psychopaths,13500000,15024049,33035736,2012,18011687,sevenpsychopaths20121012,seven psychopaths2012
37,2000-11-22,quills,13500000,7060876,11732088,2000,4671212,quills20001122,quills2000
39,2005-02-18,der untergang,13500000,5501940,93631744,2005,88129804,deruntergang20050218,der untergang2005
40,2001-03-02,the caveman's valentine,13500000,687081,892506,2001,205425,thecavemansvalentine20010302,the caveman's valentine2001
41,2011-04-01,the last godfather,13400000,164247,164247,2011,0,thelastgodfather20110401,the last godfather2011
42,2014-04-04,under the skin,13300000,2614251,7229933,2014,4615682,undertheskin20140404,under the skin2014
43,2004-12-17,mar adentro,13300000,2086345,39686345,2004,37600000,maradentro20041217,mar adentro2004
44,2014-09-12,no good deed,13200000,52543632,54323210,2014,1779578,nogooddeed20140912,no good deed2014
46,2010-12-03,black swan,13000000,106954678,331266710,2010,224312032,blackswan20101203,black swan2010
47,2001-01-12,save the last dance,13000000,91038276,122244329,2001,31206053,savethelastdance20010112,save the last dance2001
48,2011-02-11,justin bieber: never say never,13000000,73013910,99034125,2011,26020215,justinbieberneversaynever20110211,justin bieber: never say never2011
49,2018-07-04,the first purge,13000000,69488745,136617305,2018,67128560,thefirstpurge20180704,the first purge2018
50,2016-03-16,miracles from heaven,13000000,61705123,73798736,2016,12093613,miraclesfromheaven20160316,miracles from heaven2016
51,2000-02-11,snow day,13000000,60008303,62452927,2000,2444624,snowday20000211,snow day2000
52,2004-01-23,the butterfly effect,13000000,57924679,95638592,2004,37713913,thebutterflyeffect20040123,the butterfly effect2004
54,2016-06-24,the shallows,13000000,55121623,118763442,2016,63641819,theshallows20160624,the shallows2016
57,2007-11-21,this christmas,13000000,49121934,49733545,2007,611611,thischristmas20071121,this christmas2007
58,2014-02-14,about last night,13000000,48637684,50445860,2014,1808176,aboutlastnight20140214,about last night2014
